<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:37:57.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
3.390000	-5.519300	0.000000	0.481408
3.400000	-5.519300	0.000000	0.481408
3.410000	-5.519200	0.000000	0.481408
3.420000	-5.519100	0.000000	0.481408
3.430000	-5.519100	0.000000	0.481408
3.440000	-5.519000	0.000000	0.481408
3.450000	-5.518900	0.000000	0.481408
3.460000	-5.518900	0.000000	0.481408
3.470000	-5.518800	0.000000	0.481408
3.480000	-5.518700	0.000000	0.481408
3.490000	-5.518700	0.000000	0.481408
3.500000	-5.518600	0.000000	0.481408
3.510000	-5.518600	0.000000	0.481408
3.520000	-5.518500	0.000000	0.481408
3.530000	-5.518400	0.000000	0.481408
3.540000	-5.518400	0.000000	0.481408
3.550000	-5.518300	0.000000	0.481408
3.560000	-5.518200	0.000000	0.481408
3.570000	-5.518200	0.000000	0.481408
3.580000	-5.518100	0.000000	0.481408
3.590000	-5.518100	0.000000	0.481408
3.600000	-5.518000	0.000000	0.481408
3.610000	-5.518000	0.000000	0.481408
3.620000	-5.517900	0.000000	0.481408
3.630000	-5.517800	0.000000	0.481408
3.640000	-5.517800	0.000000	0.481408
3.650000	-5.517700	0.000000	0.481408
3.660000	-5.517600	0.000000	0.481408
3.670000	-5.517600	0.000000	0.481408
3.680000	-5.517500	0.000000	0.481408
3.690000	-5.517400	0.000000	0.481408
3.700000	-5.517400	0.000000	0.481408
3.710000	-5.517300	0.000000	0.481408
3.720000	-5.517200	0.000000	0.481408
3.730000	-5.517200	0.000000	0.481408
3.740000	-5.517100	0.000000	0.481408
3.750000	-5.517000	0.000000	0.481408
3.760000	-5.517000	0.000000	0.481408
3.770000	-5.516900	0.000000	0.481408
3.780000	-5.516900	0.000000	0.481408
3.790000	-5.516800	0.000000	0.481408
3.800000	-5.516800	0.000000	0.481408
3.810000	-5.516700	0.000000	0.481408
